회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,지번주소,도로명주소,매출액,자산총계,직원총수,비고,재무,...16,번호,V1,조사기준년도,시군명,행정구역명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84경도,WGS84위도,산업대분류코드,산업대분류명,산업중분류명,산업소분류명,산업세분류명,산업세세분류명,산업세세분류코드
아이스크림미디어,461300,소프트웨어 개발 및 공급업,"교육출판, 커머스, 연수",2024-08-30,12월,허주환,http://www.i-screammedia.com,경기도,삼평동 671-3 시공빌딩 3층 시공미디어,경기 성남시 분당구 판교역로 225-20,1.23055E+11,1.14476E+11,NA,감사보고서,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
티디에스팜,464280,의약품 제조업,"경피약물전달시스템(습포제, 첩부제)",2024-08-21,12월,김철준,http://www.tdspharm.com,경기도,삼평동 621,경기 성남시 분당구 판교로 253 판교이노밸리 C-403,"30,049,355,329?","33,970,008,350?",NA,감사보고서,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
산일전기,62040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","유입, 몰드, 주상, 건식 변압기 등",2024-07-29,12월,박동석,http://www.sanil.co.kr,경기도,성곡동 809-6,경기 안산시 단원구 시화벤처로 481 산일전기(주),2.14538E+11,1.91302E+11,NA,감사보고서,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
에이치브이엠,295310,1차 비철금속 제조업,"Ni계 합금, Fe계 합금, 스퍼터링타겟, Cu계 합금 등",2024-06-28,12월,문승호,http://hvm.co.kr/,경기도,관양동 1591-9,경기 안양시 동안구 시민대로248번길 25,41457405000,85200793000,116,반기보고서,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
씨어스테크놀로지,458870,의료용 기기 제조업,심전도검사솔루션 입원환자모니터링솔루션,2024-06-19,12월,이영신,http://seerstech.com,경기도,갈곶리 169,경기 평택시 진위면 동부대로 291-13 씨어스테크놀로지 본사,1630566003,34804712990,92,반기보고서,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
그리드위즈,453450,"그외 기타 전문, 과학 및 기술 서비스업","수요관리 서비스, 전기차 충전기 모뎀 등",2024-06-14,12월,김구환,http://www.gridwiz.com,경기도,"시흥동 219, 운중동 1010",경기성남시수정구대왕판교로 907,1.31871E+11,1.22293E+11,111,반기보고서,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
다원넥스뷰,323350,사진장비 및 광학기기 제조업,LSMB(Laser Micro Bonding System),2024-06-11,12월,남기중,http://www.nexview.co.kr,경기도,성곡동 822,경기안산시단원구시화호수로 485 (주)다원시스,10653525632,16889943006,61,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
코칩,126730,전자부품 제조업,소형 및 초소형 슈퍼커패시터,2024-05-07,12월,손진형,http://www.korchip.com,경기도,안양동 817-38,경기 안양시 만안구 만안로 359 코칩빌딩,32912374630,34589379698,77,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
카티스,140430,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",산업인프라 보안플랫폼,2024-05-03,12월,김승수,http://CATIS.CO.KR,경기도,안양동 203-11,경기 안양시 만안구 덕천로48번길 28,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
디앤디파마텍,347850,자연과학 및 공학 연구개발업,대사성질환 치료제 등,2024-05-02,12월,이슬기,http://www.ddpharmatech.com,경기도,삼평동 612-1,경기 성남시 분당구 판교로255번길 24 4층,"16,112,109,800","95,047,829,185",21,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
제일엠앤에스,412540,특수 목적용 기계 제조업,2차전지 믹싱시스템,2024-04-30,12월,이영진,http://www.jeilm.co.kr,경기도,가산리 214-3,경기 이천시 부발읍 황무로2065번길 72-75,"142,835,202,110","220,896,973,834",305,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SK이터닉스,475150,건물 건설업,부동산 개발,2024-03-29,12월,김해중,http://www.sketernix.com,경기도,삼평동 687,경기 성남시 분당구 판교로 332 3층,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
오상헬스케어,36220,의료용품 및 기타 의약 관련제품 제조업,"생화학 측정기 및 센서, 면역진단기기 및 마커, 분자진단기기 및 시약 등",2024-03-13,12월,강철훈,http://www.osanghc.com,경기도,호계동 891-3,경기 안양시 동안구 안양천동로 132,"355,846,882,565?","320,546,708,566?",323,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
케이엔알시스템,199430,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","특수목적 시험장비, 산업용로봇",2024-03-07,12월,김명한,http://www.knrsys.com,경기도,원암리 199,경기 용인시 처인구 남사읍 천덕산로482번길 1,21399034152,32622226151,163,NA,NA,NA,14,1332596,2021,용인시,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 남사읍 원암리 199,경기도 용인시 처인구 남사읍 천덕산로482번길  1     ,17124,127.1453085,37.09211596,C,제조업(10~34),"의료, 정밀, 광학 기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외","측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업","물질 검사, 측정 및 분석 기구 제조업",27213
사피엔반도체,452430,반도체 제조업,Micro/Mini-LED Display Driver IC,2024-02-19,12월,이명희,http://www.sapien-semicon.com,경기도,시흥동 293,경기 성남시 수정구 창업로 42 판교글로벌비즈센터 A동 601~613호,3210000000,21564000000,42,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
레이저옵텍,199550,의료용 기기 제조업,레이저 기반 피부미용기기 및 질환치료기기,2024-02-01,12월,"주홍, 이창진",http://www.laseroptek.com,경기도,상대원동 223-12 현대I밸리 203,경기성남시중원구갈마치로244번길 31 성남현대 I밸리,34352000000,29810000000,75,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
우진엔텍,457550,"그외 기타 전문, 과학 및 기술 서비스업",발전소 계측제어설비 정비 서비스,2024-01-24,12월,신상연,http://www.woojinntec.com/,경기도,오산동 295,경기화성시동부대로970번길 117,40682712915,39456899439,326,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DS단석,17860,기타 화학제품 제조업,바이오에너지,2023-12-22,12월,한승욱,http://dsdansuk.com,경기도,정왕동 1239-5,경기 시흥시 협력로 165,1.07044E+12,7.18904E+11,416,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
블루엠텍,439580,기타 전문 도매업,의약품 유통업,2023-12-13,12월,김현수,http://www.bluemtec.com,경기도,영덕동 1315,경기 용인시 기흥구 중부대로 184 힉스유타워 제A동 322호,1.13853E+11,92236121824,87,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LS머트리얼즈,417200,전자부품 제조업,울트라커패시터(셀 및 모듈),2023-12-12,12월,홍영호,NA,경기도,호계동 555-16,경기 안양시 동안구 엘에스로116번길 39 LS엠트론 하이테크센터,"35,571,073,625?",2.66199E+11,76,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
케이엔에스,432470,특수 목적용 기계 제조업,이차전지 자동화 설비,2023-12-06,12월,정봉진,http://knssystem.com,경기도,수월암리 960,경기 평택시 서탄면 서탄로 446-9,24052571022,58372716820,38,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
에이텀,355690,전자부품 제조업,평판형 트랜스,2023-12-01,06월,한택수,http://www.iatum.com/,경기도,초지동 623-9,경기안산시단원구별망로677번길 19-15,"20,337,740,476
",44934147398,30,NA,NA,NA,22,651153,2021,안산시,경기도 단원구 초지동,경기도 안산시 단원구 초지동 623-9 에이텀 A동,경기도 안산시 단원구 초지동 별망로677번길  19-15 에이텀 A동(공장동),15437,126.7975035,37.30288015,G,도매 및 소매업(45~47),도매 및 상품 중개업,기계장비 및 관련 물품 도매업,기타 기계 및 장비 도매업,전기용 기계ㆍ장비 및 관련 기자재 도매업,46595
제이엔비,452160,특수 목적용 기계 제조업,"진공 펌프용 유틸리티 장치(Stacker 등), 정밀가공 부품",2023-11-24,12월,이정범,http://www.jnbeng.com/,경기도,갈곶리 330-3,경기평택시진위면진위2산단로 31-21,15137614696,59802138646,56,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
동인기연,111380,"가죽, 가방 및 유사제품 제조업","스포츠용품(등산용가방,골프백),금속압형제품,유아용품 제조,도소매,통신 판매/부동산 임대",2023-11-21,12월,정인수,http://www.dong-in.com/,경기도,가현리 641-1,경기 김포시 통진읍 대곶북로 370-26,"208,975,060,852
",2.02262E+11,127,NA,NA,NA,24,465309,2021,김포시,경기도 김포시 통진읍,경기도 김포시 통진읍 가현리 641-1 7,경기도 김포시 통진읍 대곶북로  370-26 7,10030,126.5754526,37.67922142,C,제조업(10~34),1차 금속 제조업,1차 비철금속 제조업,"비철금속 압연, 압출 및 연신제품 제조업","알루미늄 압연, 압출 및 연신제품 제조업",24222
에이직랜드,445090,반도체 제조업,"비메모리 반도체 설계및 제조, 전자회로 연구, 설계, 레이아웃 등",2023-11-13,12월,이종민,http://www.asicland.com,경기도,이의동 1246,경기 수원시 영통구 대학4로 25 에이직랜드빌딩,"70,917,541,884
",1.59164E+11,125,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
쏘닉스,88280,반도체 제조업,RF필터 파운드리,2023-11-07,12월,양형국,http://www.sawnics.com,경기도,현곡리 455-8,경기평택시청북읍현곡산단로93번길 81,13813256246,58589144660,77,NA,NA,NA,26,371467,2021,평택시,경기도 평택시 청북읍,경기도 평택시 청북읍 현곡리 455-8 2동 옥내저장소,경기도 평택시 청북읍 현곡산단로93번길  81-0 2동 옥내저장소,17812,126.9435939,37.03861697,C,제조업(10~34),"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송장비 제조업,방송 및 무선 통신장비 제조업,기타 무선 통신장비 제조업,26429
세니젠,188260,그외 기타 제품 제조업,"Genelix, Genext, Geneka 등",2023-11-03,12월,박정웅,http://sanigen.kr,경기도,관양동 954-1,경기 안양시 동안구 흥안대로427번길 16 411호,22268480095,21448446875,95,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
퀄리타스반도체,432720,반도체 제조업,초고속 통신용 반도체 IP,2023-10-27,12월,김두호,http://q-semi.com,경기도,정자동 25-1,"경기성남시분당구성남대로331번길 8 본사 609호, 연구소16층, 23층",10774541164,40711673478,161,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
워트,396470,특수 목적용 기계 제조업,초정밀 온습도 제어장비,2023-10-26,12월,박승배,http://wot.co.kr,경기도,방교동 783-1,경기 화성시 동탄산단10길 53-15,"12,845,576,073
",62215759142,38,NA,NA,NA,29,129733,2021,화성시,경기도 화성시 동탄6동,경기도 화성시 방교동 783-1,경기도 화성시 동탄6동 동탄산단10길  53-15 ,18487,127.0932713,37.18150458,C,제조업(10~34),기타 기계 및 장비 제조업,일반 목적용 기계 제조업,"냉각, 공기 조화, 여과, 증류 및 가스 발생기 제조업",공기 조화장치 제조업,29172
에스엘에스바이오,246250,"그외 기타 전문, 과학 및 기술 서비스업","의약품 품질관리, 신약개발지원, 체외진단기기",2023-10-20,12월,이영태,http://www.slabs.co.kr,경기도,이의동 1283,경기 수원시 영통구 창룡대로 260 광교센트럴비즈타워 7층,9023399199,17837583634,57,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
아이엠티,451220,특수 목적용 기계 제조업,건식세정 장비 및 EUV Mask Baking Laser,2023-10-10,12월,최재성,http://www.imt-c.co.kr/kor/,경기도,원천동 552,경기수원시영통구신원로 306 1동 8층이노플렉스,6433241629,30275457511,42,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
두산로보틱스,454910,특수 목적용 기계 제조업,협동로봇,2023-10-05,12월,"류정훈, 박인원, 조길성",http://www.doosanrobotics.com,경기도,고색동 1081,경기 수원시 권선구 산업로156번길 79,55053000000,4.59917E+11,195,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
율촌,146060,1차 철강 제조업,냉간인발강관(파이프),2023-09-08,12월,"이흥해, 이인호",http://www.ycpipe.com,경기도,정왕동 2093-7,경기 시흥시 공단2대로 192,"34,767,462,010",68758083861,84,NA,NA,NA,33,817613,2021,시흥시,경기도 시흥시 정왕2동,경기도 시흥시 정왕동 2093-7 시화공단,경기도 시흥시 정왕2동 공단2대로  192- 시화공단,15102,126.7129511,37.3270817,C,제조업(10~34),1차 금속 제조업,1차 철강 제조업,철강관 제조업,강관 가공품 및 관 연결구류 제조업,24133
시큐레터,418250,소프트웨어 개발 및 공급업,"SLE(이메일 보안), SLF(파일 보안)",2023-08-24,12월,임차성,http://www.seculetter.com/,경기도,금토동 422-1,경기성남시수정구금토로80번길 11 판교이노베이션랩 14층,"2,582,665,722?","19,518,073,876?",47,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
스마트레이더시스템,424960,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",모빌리티 및 비모빌리티용 4D이미징레이다,2023-08-22,12월,김용환,http://www.smartradarsystem.com,경기도,야탑동 345-1,경기 성남시 분당구 성남대로925번길 41 파인벤처빌딩 3층,4075935000,26061625000,63,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
코츠테크놀로지,448710,컴퓨터 및 주변장치 제조업,"싱글보드컴퓨터(SBC), 군용 전시기 등",2023-08-10,12월,조지원,http://www.cotstech.com/,경기도,야탑동 145,경기 성남시 분당구 판교로 744 분당테크노파크 C동 702호,51299936000,64653676000,167,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
파로스아이바이오,388870,자연과학 및 공학 연구개발업,PHI-101 급성골수성백혈병 치료제 및 재발성난소암 치료제,2023-07-27,12월,윤정혁,http://www.pharosibio.com/,경기도,관양동 954-6,경기 안양시 동안구 흥안대로427번길 38 인덕원성지스타위드 1408호,0,29690249518,33,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
센서뷰,321370,절연선 및 케이블 제조업,"T&M 케이블, 초소형 전송선로",2023-07-19,12월,김병남,http://www.sensor-view.com,경기도,삼평동 678,경기 성남시 분당구 판교역로 240 705호,8334948655,30384448118,119,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
아이엠지티,456570,의료용품 및 기타 의약 관련제품 제조업,치료용 집속초음파 기기,2023-07-19,12월,이학종,http://www.imgt.co.kr/,경기도,정자동 217,경기성남시분당구돌마로 172 헬스케어혁신파크 408,42400000,10559766000,34,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
필에너지,378340,특수 목적용 기계 제조업,2차전지 제조장비,2023-07-14,12월,김광일,http://philenergy.co.kr,경기도,세교동 644,경기 오산시 지곶중앙로 1-19,"196,715,168,088?",2.46595E+11,297,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
가이아코퍼레이션,296520,생활용품 도매업,"유아용품, 완구, 굿즈",2023-06-20,12월,나원석,http://gaiabiz.co.kr/,경기도,문발동 530-6,"경기파주시문발로 129, 베네피아빌딩 4층",31519960550,15522761887,96,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
나라셀라,405920,음·식료품 및 담배 도매업,와인 도소매,2023-06-02,12월,마승철,http://www.naracellar.com/,경기도,내촌리 228-98,경기 이천시 백사면 청백리로393번길 353,85289208261,1.31246E+11,205,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
기가비스,420770,특수 목적용 기계 제조업,반도체 기판용 광학검사 및 수리장비,2023-05-24,12월,강해철,http://www.gigavis.com,경기도,청호리 330-9,경기 평택시 진위면 진위산단로 53-86,91422516772,2.12615E+11,121,NA,NA,NA,43,487403,2021,평택시,경기도 평택시 진위면,"경기도 평택시 진위면 청호리 330-9 블록 3, 5","경기도 평택시 진위면 진위산단로  53-86 블록 3, 5",17709,127.0810785,37.12495252,C,제조업(10~34),"의료, 정밀, 광학 기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외","측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업","물질 검사, 측정 및 분석 기구 제조업",27213
팸텍,271830,특수 목적용 기계 제조업,"카메라모듈 검사장비, 반도체 검사장비",2023-05-23,12월,김재웅,http://www.pamtek.com/,경기도,방교동 824-5,경기도 화성시 동탄산단 9길 9-22 팸텍(주),95908765000,91654187000,244,NA,NA,NA,44,1128383,2021,화성시,경기도 화성시 동탄6동,경기도 화성시 방교동 824-5,경기도 화성시 동탄6동 동탄산단9길  9-22 ,18487,127.0891944,37.17710967,C,제조업(10~34),기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,29271
슈어소프트테크,298830,소프트웨어 개발 및 공급업,소프트웨어 자동화 검증 플랫폼,2023-04-28,12월,배현섭,http://www.suresofttech.com/,경기도,금토동 704,경기 성남시 수정구 금토로80번길 37 인피니티타워 E동 슈어소프트테크 판교캠퍼스,1.58139E+11,63290000000,416,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
마이크로투나노,424980,반도체 제조업,메모리 테스트용 프로브 카드,2023-04-26,12월,황규호,http://micro2nano.com,경기도,덕성리 1272-7,경기 용인시 처인구 이동읍 덕성산단2로50번길 43,9370216743,53509009188,125,NA,NA,NA,46,914214,2021,용인시,경기도 처인구 이동읍,경기도 용인시 처인구 이동읍 덕성리 1272-7 (주)엠투엔 용인공장,경기도 용인시 처인구 이동읍 덕성산단2로50번길  43-0 (주)엠투엔 용인공장,17130,127.2106652,37.17142005,C,제조업(10~34),"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",기타 반도체 소자 제조업,26129
셀바이오휴먼텍,318160,기타 섬유제품 제조업,마스크팩 섬유소재(시트),2023-04-20,12월,이권선,http://cellbiohumantech.co.kr/,경기도,관양동 224-5,"경기 안양시 동안구 시민대로 401 제2001호, 제2101호",27285778021,50272663115,60,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
현대그린푸드,453340,종합 소매업,"푸드서비스(단체급식), 식자재유통서비스, 공산품/생식품 유통서비스",2023-04-10,12월,박홍진,http://hyundaigreenfood.com,경기도,동천동 853-1,경기용인시수지구문인로 30,1770802749,859396764,6043,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
엑스게이트,356680,소프트웨어 개발 및 공급업,통합 네트워크 보안 솔루션,2023-03-16,12월,주갑수,http://www.axgate.com,경기도,갈현동 422,경기과천시과천대로7나길 34,42820685714,49995588576,137,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
라온텍,418420,전자부품 제조업,"마이크로디스플레이, 컨트롤러 IC",2023-03-09,12월,김보은,RAON.io,경기도,시흥동 340,경기 성남시 수정구 창업로 43 B동 6층,10744039299,35657768897,57,NA,재무상태표,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
자람테크놀로지,389020,반도체 제조업,"XGSPON, 기가와이어, 광트랜시버 등",2023-03-07,12월,백준현,http://zaram.com,경기도,야탑동 345-1 파인디지털 2층,경기 성남시 분당구 성남대로925번길 41 파인벤처빌딩 2층,"11,623,137,413?","37,656,260,725?",58,NA,요약재무,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
바이오인프라,199730,자연과학 및 공학 연구개발업,"생동성시험, 검체 분석",2023-03-02,12월,이상득,http://bioinfrakorea.co.kr,경기도,영덕동 1029,"경기 용인시 기흥구 흥덕중앙로 120 4층, 5층",30128735340,47003821510,114,NA,재무상태표,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
샌즈랩,411080,소프트웨어 개발 및 공급업,사이버 위협 인텔리전스(CTI),2023-02-15,12월,김기홍,http://www.sandslab.io,경기도,갈현동 450-1 12층,"경기 과천시 과천대로7나길 25 , 12층",11721914034,46362311664,48,NA,재무상태표,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
꿈비,407400,가구 제조업,"놀이방매트, 유아거실가구 등",2023-02-09,12월,박영건,http://ggumbi.com/,경기도,하동 1016-1,경기 수원시 영통구 법조로 25 에이동 713호,28927922420,49206484702,78,NA,연결재무,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
코오롱모빌리티그룹,450140,자동차 판매업,수입자동차 유통 및 정비업,2023-01-31,12월,전철원,http://www.kolonmobilitygroup.com/,경기도,관양동 1591-10,경기도안양시평촌대로212번길 55 9층,"2,403,014,479,969?",8.043E+11,134,NA,요약재무,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
옵티코어,380540,마그네틱 및 광학 매체 제조업,"광트랜시버, 광다중화장치 등",2022-12-29,12월,진재현,http://www.opticore.co.kr/,경기도,영천동 151-1,경기 화성시 동탄기흥로 602,26332441090,33895626568,65,NA,요약재무,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
지에프씨생명과학,388610,기타 화학제품 제조업,화장품 바이오 소재 및 임상실험,2022-12-23,12월,강희철 / 표형배,http://www.gfcos.co.kr/,경기도,영천동 652-4,경기 화성시 동탄순환대로 823 에이팩시티 17층,15301000000,19165000000,74,NA,요약재무,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
바이오노트,377740,의료용품 및 기타 의약 관련제품 제조업,"Rapid 반제품 및 완제품, 동물용신속진단 키트",2022-12-22,12월,조병기,http://www.bionote.co.kr,경기도,석우동 2-9,경기 화성시 삼성1로4길 22,84875760790,1.00162E+12,303,NA,별도재무,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
애니메디솔루션,390110,의료용 기기 제조업,"맞춤형 수술솔루션(시뮬레이터, 수술가이드, 보형물)",2022-12-21,12월,김국배,http://www.anymedi.com/,경기도,신천동 7-11,서울송파구올림픽로35길 137,1123621000,7473929000,50,NA,요약재무,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
아하,102950,전자부품 제조업,"전자칠판, 전자교탁 등",2022-11-30,12월,"구기도, 엄창옥",http://www.i-aha.com,경기도,학운리 3011,경기 김포시 양촌읍 황금로109번길 67 아하,88483213000,75175442000,130,NA,요약재무,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
에이아이더뉴트리진,311960,소프트웨어 개발 및 공급업,"건강기능식품, AI솔루션, 분자진단키트",2022-11-29,12월,김 수 화,http://aithenutrigene.com,경기도,시흥동 293,경기 성남시 수정구 창업로 42 6층 630호,9123000453,23134410783,102,NA,별도재무,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
인벤티지랩,389470,자연과학 및 공학 연구개발업,마이크로/나노 입자 기반 약물전달 플랫폼 및 관련 제품,2022-11-22,12월,김주희,http://www.inventagelab.com,경기도,삼평동 682,경기성남시분당구대왕판교로 670 B동 9층인벤티지랩,658151686,4410627497,69,NA,요약재무,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
엔젯,419080,특수 목적용 기계 제조업,"EHD 잉크젯 프린터, EHD 코터",2022-11-18,12월,변도영,http://enjet.co.kr,경기도,고색동 939,경기 수원시 권선구 산업로92번길 45,"12,072,705,251?","52,867,567,866?",80,NA,요약재무,NA,63,901320,2021,수원시,경기도 권선구 평동,경기도 수원시 권선구 고색동 939,경기도 수원시 권선구 평동 산업로92번길  45- ,16643,126.9764956,37.23956511,C,제조업(10~34),"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",컴퓨터 및 주변 장치 제조업,기억 장치 및 주변 기기 제조업,컴퓨터 프린터 제조업,26323
티에프이,425420,전자부품 제조업,"COK, Board, Test Socket",2022-11-17,12월,문성주,http://www.tfe.co.kr,경기도,반월동 320-13,경기화성시반월길 50-8,77313000000,84695000000,204,NA,요약재무,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
윤성에프앤씨,372170,특수 목적용 기계 제조업,2차전지용 믹싱시스템,2022-11-14,12월,박치영,http://www.ysfc.co.kr,경기도,마정리 600,경기 안성시 공도읍 문터길 72-23,3.12881E+11,3.45814E+11,305,NA,요약재무,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
디티앤씨알오,383930,자연과학 및 공학 연구개발업,비임상 및 임상시험 대체 용역,2022-11-11,12월,박채규,http://www.dtncro.com,경기도,유방동 653-8,경기 용인시 처인구 백령로20번길 28 기술융합센터,26586000000,59848000000,329,NA,요약재무,NA,66,515711,2021,용인시,경기도 처인구 유림동,경기도 용인시 처인구 유방동 653-8,경기도 용인시 처인구 유림동 백령로20번길  28- ,17042,127.1961774,37.26463428,M,"전문, 과학 및 기술 서비스업(70~73)",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업,70113
